Number		Dims		Class Data
938		(64, 64, 3)		b'viaduct' (class 168)
939		(64, 64, 3)		b'tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui' (class 183)
940		(64, 64, 3)		b'barbershop' (class 145)
941		(64, 64, 3)		b'plate' (class 143)
942		(64, 64, 3)		b'scorpion' (class 125)
943		(64, 64, 3)		b'chain' (class 171)
944		(64, 64, 3)		b'cliff dwelling' (class 166)
945		(64, 64, 3)		b'basketball' (class 6)
946		(64, 64, 3)		b'bullfrog, Rana catesbeiana' (class 5)
947		(64, 64, 3)		b'dining table, board' (class 12)
948		(64, 64, 3)		b'police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria' (class 90)
949		(64, 64, 3)		b'tractor' (class 75)
950		(64, 64, 3)		b'miniskirt, mini' (class 77)
951		(64, 64, 3)		b'freight car' (class 52)
952		(64, 64, 3)		b'lakeside, lakeshore' (class 56)
953		(64, 64, 3)		b'steel arch bridge' (class 130)
954		(64, 64, 3)		b'boa constrictor, Constrictor constrictor' (class 177)
955		(64, 64, 3)		b'beacon, lighthouse, beacon light, pharos' (class 93)
956		(64, 64, 3)		b'jinrikisha, ricksha, rickshaw' (class 108)
957		(64, 64, 3)		b'backpack, back pack, knapsack, packsack, rucksack, haversack' (class 38)
958		(64, 64, 3)		b'abacus' (class 63)
959		(64, 64, 3)		b'sewing machine' (class 129)
960		(64, 64, 3)		b'beaker' (class 187)
961		(64, 64, 3)		b'banana' (class 46)
962		(64, 64, 3)		b'snail' (class 33)
963		(64, 64, 3)		b'fur coat' (class 59)
964		(64, 64, 3)		b'miniskirt, mini' (class 77)
965		(64, 64, 3)		b'guinea pig, Cavia cobaya' (class 17)
966		(64, 64, 3)		b'sewing machine' (class 129)
967		(64, 64, 3)		b'barbershop' (class 145)
968		(64, 64, 3)		b'gazelle' (class 73)
969		(64, 64, 3)		b'basketball' (class 6)
970		(64, 64, 3)		b'crane' (class 103)
971		(64, 64, 3)		b'snail' (class 33)
972		(64, 64, 3)		b'black widow, Latrodectus mactans' (class 141)
973		(64, 64, 3)		b'Egyptian cat' (class 0)
974		(64, 64, 3)		b'abacus' (class 63)
975		(64, 64, 3)		b'orangutan, orang, orangutang, Pongo pygmaeus' (class 159)
976		(64, 64, 3)		b'plate' (class 143)
977		(64, 64, 3)		b'kimono' (class 172)
978		(64, 64, 3)		b'gazelle' (class 73)
979		(64, 64, 3)		b'confectionery, confectionary, candy store' (class 146)
980		(64, 64, 3)		b'chest' (class 110)
981		(64, 64, 3)		b'rocking chair, rocker' (class 3)
982		(64, 64, 3)		b'chest' (class 110)
983		(64, 64, 3)		b'pop bottle, soda bottle' (class 45)
984		(64, 64, 3)		b'magnetic compass' (class 191)
985		(64, 64, 3)		b'police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria' (class 90)
986		(64, 64, 3)		b'European fire salamander, Salamandra salamandra' (class 55)
987		(64, 64, 3)		b"academic gown, academic robe, judge's robe" (class 74)
988		(64, 64, 3)		b"academic gown, academic robe, judge's robe" (class 74)
989		(64, 64, 3)		b'gazelle' (class 73)
990		(64, 64, 3)		b'orangutan, orang, orangutang, Pongo pygmaeus' (class 159)
991		(64, 64, 3)		b'police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria' (class 90)
992		(64, 64, 3)		b'snorkel' (class 111)
993		(64, 64, 3)		b'viaduct' (class 168)
994		(64, 64, 3)		b'European fire salamander, Salamandra salamandra' (class 55)
995		(64, 64, 3)		b'neck brace' (class 81)
996		(64, 64, 3)		b'vestment' (class 104)
997		(64, 64, 3)		b'neck brace' (class 81)
998		(64, 64, 3)		b'triumphal arch' (class 79)
999		(64, 64, 3)		b'thatch, thatched roof' (class 139)
